word	label	negative	neutral	positive
niiccee	neutral	0.143	0.549	0.309
!	positive	0.089	0.33	0.581
'\"'	neutral	0.349	0.531	0.12
#	neutral	0.159	0.607	0.234
$	neutral	0.113	0.61	0.277
'\%'	neutral	0.115	0.74	0.145
&	neutral	0.04	0.577	0.383
'\''	positive	0.205	0.29	0.505
(	neutral	0.172	0.737	0.091
)	neutral	0.087	0.504	0.409
*	neutral	0.342	0.375	0.283
+	neutral	0.181	0.517	0.302
','	neutral	0.199	0.485	0.316
-	neutral	0.16	0.551	0.289
0	neutral	0.356	0.456	0.188
/	neutral	0.054	0.777	0.168
0	neutral	0.182	0.619	0.2
1	neutral	0.092	0.617	0.292
2	neutral	0.136	0.479	0.385
3	neutral	0.115	0.854	0.032
4	neutral	0.119	0.743	0.138
5	neutral	0.089	0.781	0.13
6	neutral	0.148	0.819	0.033
7	neutral	0.207	0.724	0.069
8	neutral	0.202	0.737	0.062
9	neutral	0.144	0.781	0.075
:	neutral	0.157	0.506	0.337
;	negative	0.452	0.374	0.174
<	neutral	0.166	0.453	0.381
=	neutral	0.291	0.534	0.175
>	negative	0.83	0.14	0.029
'?'	neutral	0.132	0.798	0.069
@	negative	0.544	0.318	0.139
[	neutral	0.126	0.823	0.051
'\\'	neutral	0.071	0.601	0.328
]	neutral	0.137	0.812	0.05
flip	neutral	0.404	0.542	0.053
^	positive	0.013	0.467	0.52
_	neutral	0.327	0.464	0.209
`	neutral	0.207	0.463	0.33
a	neutral	0.119	0.653	0.227
b	negative	0.463	0.428	0.109
c	neutral	0.201	0.629	0.17
garland	neutral	0.114	0.848	0.038
bettaa	negative	0.579	0.094	0.327
d	neutral	0.3	0.5	0.2
e	neutral	0.092	0.783	0.124
f	neutral	0.193	0.691	0.116
g	neutral	0.149	0.734	0.117
h	neutral	0.214	0.571	0.215
i	neutral	0.265	0.536	0.199
j	neutral	0.093	0.779	0.127
bettah	positive	0.251	0.115	0.634
k	neutral	0.147	0.767	0.085
l	neutral	0.389	0.458	0.153
m	neutral	0.141	0.764	0.096
n	neutral	0.05	0.488	0.462
o	neutral	0.169	0.706	0.126
p	neutral	0.158	0.749	0.093
q	neutral	0.357	0.476	0.167
r	neutral	0.123	0.727	0.15
s	positive	0.091	0.438	0.471
t	neutral	0.288	0.44	0.272
u	positive	0.047	0.328	0.625
v	neutral	0.183	0.721	0.096
w	neutral	0.307	0.413	0.28
x	neutral	0.085	0.645	0.269
y	neutral	0.263	0.637	0.1
z	neutral	0.106	0.716	0.178
'{'	neutral	0.313	0.433	0.254
|	neutral	0.18	0.614	0.207
'}'	neutral	0.364	0.443	0.193
~	positive	0.003	0.352	0.645
@user4813959	negative	0.621	0.108	0.271
¡	neutral	0.137	0.56	0.303
£	neutral	0.031	0.562	0.406
¤	neutral	0.184	0.692	0.125
¥	neutral	0.324	0.479	0.197
©	neutral	0.095	0.539	0.367
«	neutral	0.359	0.473	0.169
¬	neutral	0.258	0.673	0.069
®	positive	0.074	0.293	0.633
°	neutral	0.022	0.668	0.311
²	neutral	0.17	0.491	0.34
´	neutral	0.413	0.572	0.015
·	neutral	0.108	0.794	0.098
¸	negative	0.73	0.004	0.265
»	neutral	0.09	0.603	0.307
½	neutral	0.04	0.884	0.077
¿	neutral	0.168	0.782	0.05
à	neutral	0.116	0.816	0.068
fllw	negative	0.476	0.257	0.267
á	neutral	0.162	0.656	0.181
ä	negative	0.434	0.242	0.324
å	neutral	0.194	0.776	0.03
ç	neutral	0.203	0.497	0.3
è	neutral	0.085	0.863	0.052
é	neutral	0.218	0.561	0.221
ê	neutral	0.118	0.644	0.238
ñ	negative	0.394	0.368	0.238
ó	neutral	0.318	0.566	0.116
ô	neutral	0.13	0.793	0.077
õ	neutral	0.203	0.727	0.069
ö	negative	0.551	0.349	0.099
ü	positive	0.108	0.111	0.781
flor	neutral	0.13	0.591	0.28
rememeber	neutral	0.127	0.652	0.221
ı	positive	0.107	0.349	0.545
makassar	neutral	0.075	0.511	0.414
h.s.	neutral	0.292	0.514	0.195
kristen	neutral	0.063	0.751	0.186
@user245873	positive	0.018	0.164	0.817
flys	negative	0.447	0.346	0.208
ɑ	positive	0.049	0.405	0.546
flyy	negative	0.655	0.215	0.13
flipflops	neutral	0.09	0.903	0.007
commericals	negative	0.515	0.472	0.013
4more	positive	0.132	0.225	0.643
apetite	negative	0.623	0.307	0.07
#bestsexsongs	negative	0.478	0.32	0.202
assume	neutral	0.363	0.523	0.114
kristie	neutral	0.035	0.633	0.332
kristin	neutral	0.066	0.649	0.284
colégio	neutral	0.201	0.564	0.235
'liam\'s'	neutral	0.336	0.536	0.127
listeningg	positive	0.204	0.274	0.521
pro-life	negative	0.705	0.194	0.102
#ninjaassassin	neutral	0.241	0.57	0.189
α	neutral	0.198	0.416	0.386
superjunior	positive	0.165	0.216	0.619
frasier	neutral	0.122	0.474	0.404
ϟ	positive	0.102	0.117	0.781
posers	negative	0.763	0.127	0.11
threads	neutral	0.165	0.763	0.072
!!	positive	0.099	0.129	0.771
'!,'	positive	0.087	0.35	0.564
!.	positive	0.151	0.333	0.516
а	neutral	0.2	0.623	0.177
в	negative	0.486	0.359	0.154
и	neutral	0.326	0.413	0.261
!?	neutral	0.386	0.488	0.126
с	positive	0.344	0.298	0.358
я	neutral	0.149	0.702	0.149
##	neutral	0.046	0.734	0.22
#)	neutral	0.063	0.476	0.461
#1	positive	0.034	0.462	0.504
#2	neutral	0.071	0.655	0.275
#3	neutral	0.06	0.583	0.357
#4	neutral	0.042	0.581	0.378
#5	neutral	0.087	0.493	0.42
#6	neutral	0.073	0.516	0.411
#7	neutral	0.106	0.5	0.394
#8	neutral	0.193	0.409	0.399
#9	neutral	0.184	0.585	0.231
$$	positive	0.204	0.382	0.414
$)	negative	0.458	0.313	0.229
$0	neutral	0.117	0.847	0.036
$1	neutral	0.02	0.627	0.353
$2	neutral	0.072	0.742	0.186
$3	neutral	0.044	0.779	0.176
$4	neutral	0.14	0.769	0.091
