WORD_NAME	label	negative	neutral	positive
!	positive	0.066	0.276	0.658
'\"'	neutral	0.224	0.485	0.291
#	neutral	0.111	0.761	0.128
$	neutral	0.011	0.713	0.276
'\%'	neutral	0.054	0.863	0.083
&	neutral	0.021	0.503	0.476
'\''	negative	0.672	0.119	0.209
(	neutral	0.109	0.724	0.167
)	neutral	0.096	0.717	0.187
*	negative	0.429	0.226	0.346
+	positive	0.104	0.39	0.505
','	neutral	0.234	0.478	0.287
-	neutral	0.146	0.501	0.354
0	neutral	0.342	0.499	0.159
/	neutral	0.042	0.678	0.28
0	neutral	0.082	0.736	0.182
1	neutral	0.113	0.737	0.151
2	neutral	0.306	0.469	0.224
3	neutral	0.078	0.81	0.112
4	neutral	0.24	0.385	0.375
5	neutral	0.117	0.765	0.119
6	neutral	0.034	0.87	0.096
7	neutral	0.058	0.829	0.114
8	neutral	0.039	0.837	0.124
9	neutral	0.034	0.879	0.088
:	neutral	0.119	0.611	0.269
;	negative	0.386	0.263	0.352
<	neutral	0.167	0.578	0.255
=	neutral	0.16	0.742	0.097
>	neutral	0.211	0.592	0.197
'?'	neutral	0.206	0.736	0.059
@	negative	0.633	0.281	0.085
[	neutral	0.131	0.785	0.085
'\\'	neutral	0.148	0.442	0.411
]	neutral	0.127	0.792	0.08
^	positive	0.25	0.262	0.489
_	neutral	0.232	0.635	0.134
`	positive	0.355	0.272	0.373
a	neutral	0.124	0.668	0.208
b	neutral	0.077	0.508	0.415
c	neutral	0.055	0.765	0.18
d	neutral	0.334	0.521	0.146
e	neutral	0.141	0.714	0.145
f	neutral	0.149	0.676	0.176
g	neutral	0.074	0.737	0.189
h	neutral	0.141	0.714	0.145
i	neutral	0.263	0.525	0.212
j	neutral	0.092	0.689	0.219
bettah	neutral	0.301	0.439	0.26
k	neutral	0.081	0.763	0.156
l	neutral	0.145	0.671	0.184
m	neutral	0.074	0.773	0.153
n	neutral	0.158	0.684	0.159
o	neutral	0.361	0.554	0.085
p	neutral	0.107	0.66	0.232
q	neutral	0.143	0.748	0.108
r	neutral	0.262	0.43	0.308
s	neutral	0.306	0.377	0.317
t	neutral	0.204	0.428	0.368
u	neutral	0.174	0.505	0.32
v	neutral	0.213	0.61	0.177
w	neutral	0.194	0.54	0.266
x	neutral	0.061	0.696	0.244
y	negative	0.461	0.45	0.089
z	neutral	0.128	0.604	0.269
'{'	neutral	0.167	0.456	0.377
|	neutral	0.06	0.614	0.326
'}'	neutral	0.197	0.442	0.361
~	positive	0.07	0.259	0.672
£	neutral	0.016	0.789	0.196
»	neutral	0.006	0.722	0.272
kristen	neutral	0.011	0.54	0.448
#brazilwantsnsn	neutral	0.289	0.567	0.144
@user22640	neutral	0.216	0.52	0.264
#norway	neutral	0.137	0.568	0.295
kristof	neutral	0.211	0.554	0.235
@user22674	neutral	0.177	0.665	0.158
@user2266s	positive	0.09	0.377	0.533
@user1174513	negative	0.558	0.275	0.167
@user113913	neutral	0.172	0.602	0.225
attends	neutral	0.33	0.418	0.252
kristie	neutral	0.017	0.6	0.383
kristin	neutral	0.046	0.62	0.334
http://bit.ly/1swxoc	negative	0.601	0.211	0.189
bettin	negative	0.74	0.2	0.061
@user652177	positive	0.17	0.079	0.751
@user113939	neutral	0.147	0.537	0.316
leeteuk	positive	0.305	0.084	0.61
threads	neutral	0.186	0.726	0.089
@user377549	positive	0.184	0.128	0.689
!!	positive	0.178	0.154	0.668
'!,'	positive	0.09	0.25	0.66
!.	positive	0.09	0.303	0.607
!?	neutral	0.263	0.507	0.23
'\"\"'	neutral	0.154	0.491	0.354
