word	label	negative	neutral	positive
!	positive	0.065	0.261	0.674
'\"'	neutral	0.154	0.624	0.223
#	neutral	0.113	0.684	0.203
$	neutral	0.074	0.603	0.323
'\%'	neutral	0.095	0.764	0.142
&	neutral	0.054	0.543	0.403
'\''	neutral	0.342	0.388	0.27
(	neutral	0.138	0.646	0.216
pixelated	positive	0.373	0.25	0.377
)	neutral	0.135	0.624	0.241
*	negative	0.675	0.058	0.267
+	positive	0.199	0.135	0.666
','	neutral	0.192	0.593	0.215
-	positive	0.078	0.459	0.463
0	neutral	0.333	0.461	0.206
/	neutral	0.109	0.759	0.132
0	negative	0.469	0.38	0.151
@melissasuzanne	neutral	0.022	0.582	0.395
1	neutral	0.169	0.69	0.141
2	positive	0.193	0.214	0.593
3	negative	0.496	0.446	0.058
4	positive	0.271	0.273	0.457
5	neutral	0.274	0.586	0.14
6	neutral	0.054	0.814	0.132
7	neutral	0.067	0.796	0.138
8	neutral	0.034	0.765	0.201
9	neutral	0.063	0.804	0.132
:	neutral	0.352	0.546	0.102
;	positive	0.203	0.35	0.447
<	positive	0.254	0.325	0.421
=	neutral	0.369	0.525	0.106
>	positive	0.179	0.349	0.472
'?'	neutral	0.159	0.648	0.193
@	neutral	0.233	0.669	0.097
[	neutral	0.159	0.643	0.198
]	neutral	0.154	0.635	0.211
flip	neutral	0.444	0.484	0.072
^	neutral	0.358	0.431	0.211
_	neutral	0.09	0.654	0.256
`	negative	0.469	0.38	0.151
a	neutral	0.221	0.586	0.194
b	neutral	0.341	0.518	0.141
c	neutral	0.143	0.638	0.22
garland	neutral	0.018	0.638	0.344
d	negative	0.552	0.374	0.074
e	neutral	0.14	0.713	0.147
f	neutral	0.149	0.741	0.109
g	neutral	0.126	0.747	0.127
h	neutral	0.052	0.831	0.116
i	neutral	0.362	0.462	0.176
j	neutral	0.162	0.715	0.122
@xsparkage	positive	0.137	0.246	0.617
bettah	negative	0.56	0.328	0.112
k	neutral	0.206	0.693	0.102
l	neutral	0.3	0.65	0.05
m	neutral	0.179	0.754	0.067
n	neutral	0.391	0.548	0.061
o	neutral	0.179	0.672	0.149
p	neutral	0.164	0.715	0.121
q	neutral	0.259	0.546	0.195
r	neutral	0.072	0.488	0.44
s	neutral	0.195	0.457	0.348
t	neutral	0.147	0.668	0.185
u	neutral	0.037	0.521	0.442
v	neutral	0.17	0.689	0.141
w	neutral	0.132	0.633	0.235
x	neutral	0.036	0.696	0.268
y	neutral	0.373	0.501	0.126
z	neutral	0.163	0.651	0.186
'{'	positive	0.223	0.302	0.475
|	neutral	0.287	0.477	0.236
'}'	positive	0.261	0.317	0.422
~	neutral	0.314	0.462	0.224
@java4two	positive	0.079	0.086	0.835
£	neutral	0.03	0.505	0.466
«	negative	0.542	0.435	0.023
»	neutral	0.175	0.59	0.235
à	neutral	0.052	0.636	0.311
é	neutral	0.073	0.696	0.231
@miss_hazy	neutral	0.085	0.497	0.418
ö	positive	0.282	0.137	0.581
ü	positive	0.059	0.261	0.68
ý	negative	0.678	0.221	0.101
flor	neutral	0.087	0.719	0.194
rememeber	neutral	0.172	0.771	0.056
ı	neutral	0.084	0.589	0.327
@lesliein	positive	0.126	0.373	0.501
@lordblackadder	positive	0.053	0.453	0.494
h.s.	neutral	0.028	0.646	0.326
kristen	neutral	0.088	0.563	0.35
@weeyin13	neutral	0.086	0.63	0.284
whaaaaaat	neutral	0.416	0.546	0.039
@bryanricard	neutral	0.147	0.526	0.327
@vasbestkept	positive	0.014	0.375	0.611
flys	negative	0.661	0.133	0.205
flyy	negative	0.618	0.027	0.355
@michaelseater	positive	0.178	0.178	0.644
flipflops	neutral	0.141	0.835	0.025
apetite	neutral	0.326	0.38	0.295
assume	neutral	0.197	0.608	0.196
kristie	neutral	0.05	0.658	0.293
kristin	neutral	0.078	0.843	0.079
@minastefan	positive	0.12	0.288	0.592
@afinefrenzy	positive	0.016	0.279	0.705
pro-life	negative	0.692	0.11	0.199
bettie	neutral	0.014	0.842	0.144
@aiyerchitra	negative	0.597	0.066	0.337
frasier	neutral	0.068	0.809	0.123
posers	negative	0.817	0.035	0.148
threads	neutral	0.165	0.719	0.116
!!	positive	0.312	0.104	0.584
'!,'	neutral	0.091	0.615	0.295
!.	positive	0.114	0.338	0.548
а	neutral	0.153	0.723	0.123
в	neutral	0.142	0.743	0.114
е	neutral	0.131	0.724	0.145
и	neutral	0.174	0.708	0.119
к	neutral	0.164	0.789	0.047
!?	neutral	0.289	0.474	0.237
о	neutral	0.088	0.797	0.115
'\"\"'	neutral	0.141	0.556	0.302
т	neutral	0.167	0.738	0.095
у	neutral	0.131	0.723	0.146
'\"\''	neutral	0.191	0.72	0.089
