word	POS	label	negative	neutral	positive
!-#iaintafraidtosay	interjection	negative	0.999	0.001	0
!-#whoiam	interjection	positive	0	0.001	0.999
!-aa	interjection	neutral	0.002	0.998	0
!-aaah	interjection	neutral	0.002	0.998	0
!-aah	interjection	neutral	0.002	0.998	0
!-aahh	interjection	neutral	0	0.998	0.002
!-aaw	interjection	neutral	0.002	0.998	0
!-aaww	interjection	negative	0.999	0.001	0
!-agh	interjection	negative	0.999	0.001	0
!-ah	interjection	positive	0	0.001	0.999
!-ahaa	interjection	positive	0	0.001	0.999
!-ahah	interjection	positive	0	0.001	0.999
!-ahaha	interjection	positive	0	0.001	0.999
!-ahahah	interjection	positive	0	0.001	0.999
!-ahahaha	interjection	positive	0	0.001	0.999
!-ahahahah	interjection	positive	0	0.001	0.999
!-ahahahaha	interjection	positive	0	0.001	0.999
!-ahahha	interjection	positive	0	0.001	0.999
!-ahh	interjection	positive	0	0.001	0.999
!-ahha	interjection	positive	0	0.001	0.999
!-ahhaha	interjection	positive	0	0.001	0.999
!-aight	interjection	positive	0	0.001	0.999
!-aii	interjection	neutral	0.002	0.998	0
!-alhamdulillah	interjection	positive	0	0.001	0.999
!-alright	interjection	positive	0	0.001	0.999
!-alrighty	interjection	positive	0	0.001	0.999
!-amiin	interjection	positive	0	0.001	0.999
!-amin	interjection	positive	0	0.001	0.999
!-amo	interjection	neutral	0.002	0.998	0
!-ano	interjection	neutral	0.002	0.998	0
!-anywho	interjection	positive	0	0.001	0.999
!-argh	interjection	negative	0.999	0.001	0
!-arghh	interjection	negative	0.999	0.001	0
!-asap	interjection	positive	0	0.001	0.999
!-aw	interjection	negative	0.74	0.26	0
!-awe	interjection	negative	0.999	0.001	0
!-awee	interjection	negative	0.962	0.038	0
!-awh	interjection	negative	0.999	0.001	0
!-awhh	interjection	negative	0.999	0.001	0
!-aww	interjection	neutral	0.002	0.998	0
!-awwe	interjection	neutral	0	0.998	0.002
!-awwh	interjection	negative	0.999	0.001	0
!-ayee	interjection	positive	0	0.001	0.999
!-ayo	interjection	positive	0	0.001	0.999
!-ayy	interjection	positive	0	0.001	0.999
!-bah	interjection	negative	0.999	0.001	0
!-baha	interjection	positive	0	0.001	0.999
!-bahah	interjection	positive	0	0.001	0.999
!-bahaha	interjection	positive	0	0.001	0.999
!-bahahaha	interjection	positive	0	0.001	0.999
!-bam	interjection	neutral	0	0.998	0.002
!-bbl	interjection	positive	0	0.001	0.999
!-beeijo	interjection	positive	0	0.001	0.999
!-blahh	interjection	negative	0.999	0.001	0
!-bleh	interjection	negative	0.999	0.001	0
!-bom	interjection	positive	0	0.001	0.999
!-both	interjection	neutral	0	0.998	0.002
!-brb	interjection	positive	0	0.001	0.999
!-brr	interjection	neutral	0.002	0.998	0
!-btw	interjection	positive	0	0.001	0.999
!-bye	interjection	positive	0	0.001	0.999
!-byebye	interjection	neutral	0	0.998	0.002
!-byee	interjection	positive	0	0.001	0.999
!-c'mon	interjection	positive	0	0.001	0.999
!-cha	interjection	positive	0	0.001	0.999
!-cmon	interjection	positive	0	0.001	0.999
!-congratz	interjection	positive	0	0.001	0.999
!-cya	interjection	positive	0	0.001	0.999
!-d	interjection	positive	0	0.001	0.999
!-damm	interjection	negative	0.999	0.001	0
!-dammit	interjection	negative	0.999	0.001	0
!-damnn	interjection	negative	0.999	0.001	0
!-dang	interjection	negative	0.999	0.001	0
!-darn	interjection	negative	0.999	0.001	0
!-doh	interjection	negative	0.999	0.001	0
!-duh	interjection	positive	0	0.001	0.999
!-duhh	interjection	positive	0	0.001	0.999
!-dunno	interjection	negative	0.998	0.002	0
!-eek	interjection	neutral	0.002	0.998	0
!-eep	interjection	positive	0	0.001	0.999
!-eh	interjection	positive	0	0.001	0.999
!-ehh	interjection	neutral	0.002	0.998	0
!-emm	interjection	neutral	0	0.993	0.007
!-erm	interjection	positive	0	0.001	0.999
!-ermm	interjection	positive	0	0.001	0.999
!-ew	interjection	negative	0.999	0.001	0
!-eww	interjection	negative	0.999	0.001	0
!-ey	interjection	positive	0	0.001	0.999
!-ffs	interjection	negative	0.999	0.001	0
!-fml	interjection	negative	0.999	0.001	0
!-fyi	interjection	positive	0	0.001	0.999
!-g'night	interjection	positive	0	0.001	0.999
!-g'nite	interjection	positive	0	0.001	0.999
!-g2g	interjection	neutral	0	0.998	0.002
!-gah	interjection	negative	0.999	0.001	0
!-gahh	interjection	negative	0.999	0.001	0
!-gbu	interjection	positive	0	0.001	0.999
!-gee	interjection	neutral	0	0.998	0.002
!-geez	interjection	negative	0.999	0.001	0
!-gn	interjection	positive	0	0.001	0.999
!-gnight	interjection	positive	0	0.001	0.999
!-gnite	interjection	positive	0	0.001	0.999
!-goodluck	interjection	positive	0	0.001	0.999
!-goodmorning	interjection	positive	0	0.001	0.999
!-goodnight	interjection	positive	0	0.001	0.999
!-goodnightt	interjection	positive	0	0.001	0.999
!-goodnite	interjection	positive	0	0.001	0.999
!-gosh	interjection	neutral	0.002	0.998	0
!-gotcha	interjection	positive	0	0.001	0.999
!-gracias	interjection	positive	0	0.001	0.999
!-grr	interjection	negative	0.999	0.001	0
!-gtg	interjection	neutral	0.002	0.998	0
!-haa	interjection	positive	0	0.001	0.999
!-haah	interjection	positive	0	0.001	0.999
!-haaha	interjection	positive	0	0.001	0.999
!-hah	interjection	positive	0	0.001	0.999
!-hahaa	interjection	positive	0	0.001	0.999
!-hahah	interjection	positive	0	0.001	0.999
!-hahahaa	interjection	positive	0	0.001	0.999
!-hahahaha	interjection	positive	0	0.001	0.999
!-hahahahah	interjection	positive	0	0.001	0.999
!-hahahahaha	interjection	positive	0	0.001	0.999
!-hahahahahaha	interjection	positive	0	0.001	0.999
!-hahahha	interjection	positive	0	0.001	0.999
!-hahha	interjection	positive	0	0.001	0.999
!-hahhaha	interjection	positive	0	0.001	0.999
!-hai	interjection	positive	0	0.001	0.999
!-har	interjection	positive	0	0.001	0.999
!-hay	interjection	neutral	0	0.998	0.002
!-hbu	interjection	positive	0	0.001	0.999
!-hee	interjection	positive	0	0.001	0.999
!-heehee	interjection	positive	0	0.001	0.999
!-heey	interjection	positive	0	0.001	0.999
!-heeyy	interjection	positive	0	0.001	0.999
!-heh	interjection	positive	0	0.001	0.999
!-hehe	interjection	positive	0	0.001	0.999
!-hehee	interjection	positive	0	0.001	0.999
!-heheh	interjection	positive	0	0.001	0.999
!-hehehe	interjection	positive	0	0.001	0.999
!-hehehehe	interjection	positive	0	0.001	0.999
!-hella	interjection	positive	0	0.107	0.893
!-hello	interjection	positive	0	0.001	0.999
